iter	Passed	Remaining
0	3	3323
1	6	3028
2	8	2854
3	11	2842
4	14	2791
5	16	2770
6	19	2773
7	22	2751
8	25	2768
9	27	2691
10	29	2652
11	31	2598
12	33	2550
13	35	2533
14	38	2497
15	40	2489
16	42	2482
17	45	2478
18	47	2474
19	50	2453
20	52	2448
21	54	2430
22	56	2409
23	58	2393
24	60	2372
25	62	2356
26	65	2343
27	67	2327
28	69	2316
29	71	2308
30	73	2298
31	76	2299
32	78	2313
33	81	2312
34	83	2304
35	85	2297
36	88	2290
37	90	2285
38	92	2284
39	95	2280
40	97	2277
41	99	2273
42	101	2266
43	104	2262
44	106	2252
45	108	2242
46	110	2250
47	113	2250
48	116	2253
49	118	2260
50	121	2262
51	123	2260
52	126	2257
53	129	2263
54	131	2258
55	133	2249
56	135	2247
57	138	2245
58	140	2244
59	143	2251
60	146	2249
61	148	2252
62	151	2251
63	153	2245
64	156	2246
65	158	2241
66	160	2236
67	162	2231
68	165	2226
69	167	2224
70	169	2223
71	172	2218
72	174	2214
73	176	2210
74	178	2206
75	181	2200
76	183	2195
77	185	2191
78	187	2185
79	189	2181
80	192	2184
81	194	2179
82	196	2174
83	198	2167
84	200	2163
85	203	2163
86	206	2163
87	209	2170
88	212	2172
89	215	2175
90	217	2170
91	219	2168
92	221	2164
93	223	2158
94	226	2156
95	228	2150
96	230	2148
97	233	2150
98	236	2153
99	238	2149
100	241	2150
101	244	2152
102	247	2151
103	249	2150
104	252	2148
105	254	2148
106	257	2147
107	259	2142
108	262	2143
109	264	2143
110	267	2142
111	269	2136
112	272	2138
113	275	2137
114	277	2137
115	280	2136
116	282	2135
117	285	2135
118	288	2132
119	291	2139
120	294	2140
121	297	2140
122	300	2141
123	302	2138
124	304	2133
125	307	2133
126	310	2132
127	313	2132
128	315	2133
129	319	2135
130	321	2133
131	324	2133
132	327	2132
133	329	2132
134	332	2131
135	335	2129
136	337	2127
137	340	2129
138	343	2126
139	345	2122
140	348	2120
141	350	2117
142	353	2116
143	355	2114
144	358	2114
145	361	2114
146	364	2114
147	367	2113
148	369	2112
149	372	2110
150	375	2109
151	377	2107
152	380	2104
153	382	2103
154	386	2106
155	389	2104
156	391	2103
157	394	2100
158	396	2098
159	399	2099
160	402	2097
161	405	2095
162	408	2095
163	410	2092
164	412	2088
165	415	2085
166	418	2085
167	420	2082
168	422	2079
169	424	2074
170	427	2070
171	429	2067
172	432	2065
173	434	2064
174	437	2063
175	440	2062
176	443	2060
177	445	2058
178	448	2055
179	451	2055
180	453	2053
181	456	2051
182	458	2049
183	461	2047
184	463	2042
185	465	2038
186	467	2034
187	470	2031
188	473	2029
189	475	2029
190	478	2025
191	480	2021
192	482	2017
193	484	2012
194	486	2008
195	488	2004
196	491	2001
197	493	1998
198	495	1996
199	498	1994
200	501	1991
201	503	1990
202	506	1987
203	509	1986
204	511	1984
205	514	1981
206	516	1977
207	518	1973
208	520	1970
209	523	1968
210	525	1964
211	527	1960
212	529	1956
213	531	1952
214	533	1948
215	535	1944
216	538	1941
217	540	1937
218	542	1933
219	544	1929
220	546	1925
221	548	1920
222	550	1917
223	552	1913
224	554	1909
225	556	1906
226	558	1902
227	560	1898
228	562	1895
229	564	1891
230	567	1887
231	569	1884
232	571	1880
233	573	1877
234	575	1873
235	577	1869
236	579	1866
237	581	1862
238	583	1858
239	585	1854
240	587	1851
241	590	1849
242	592	1846
243	594	1843
244	597	1840
245	599	1837
246	601	1834
247	604	1831
248	606	1828
249	608	1826
250	611	1825
251	616	1828
252	618	1827
253	621	1824
254	623	1820
255	625	1817
256	627	1815
257	630	1811
258	632	1809
259	634	1806
260	636	1803
261	639	1800
262	641	1796
263	643	1794
264	645	1790
265	647	1787
266	649	1783
267	651	1779
268	653	1776
269	655	1772
270	657	1769
271	660	1766
272	662	1763
273	664	1760
274	666	1757
275	668	1754
276	670	1751
277	672	1747
278	674	1744
279	676	1740
280	678	1737
281	681	1733
282	683	1730
283	685	1728
284	687	1725
285	689	1722
286	692	1719
287	694	1716
288	696	1714
289	698	1711
290	701	1709
291	704	1707
292	706	1705
293	708	1702
294	711	1699
295	713	1697
296	716	1695
297	718	1692
298	720	1688
299	722	1685
300	724	1682
301	726	1679
302	728	1676
303	730	1673
304	732	1669
305	734	1666
306	736	1663
307	738	1659
308	741	1657
309	743	1654
310	745	1651
311	747	1648
312	749	1644
313	751	1641
314	753	1638
315	755	1635
316	757	1632
317	760	1630
318	762	1627
319	764	1624
320	766	1621
321	768	1618
322	770	1615
323	773	1613
324	775	1611
325	778	1608
326	780	1606
327	782	1603
328	784	1600
329	786	1597
330	788	1594
331	791	1591
332	793	1589
333	795	1586
334	797	1583
335	800	1581
336	802	1578
337	804	1575
338	807	1573
339	809	1571
340	811	1568
341	814	1567
342	817	1565
343	819	1562
344	821	1560
345	823	1557
346	825	1554
347	828	1551
348	830	1548
349	832	1545
350	834	1542
351	836	1540
352	838	1537
353	840	1534
354	842	1531
355	844	1528
356	846	1525
357	848	1522
358	851	1519
359	853	1517
360	855	1514
361	858	1512
362	860	1510
363	863	1507
364	865	1505
365	867	1502
366	869	1499
367	872	1498
368	874	1496
369	877	1493
370	879	1491
371	881	1488
372	883	1485
373	886	1483
374	889	1481
375	891	1479
376	893	1477
377	896	1474
378	898	1472
379	900	1469
380	903	1467
381	906	1466
382	908	1463
383	910	1460
384	913	1459
385	916	1457
386	918	1455
387	921	1452
388	923	1451
389	926	1448
390	928	1446
391	931	1444
392	933	1442
393	936	1439
394	938	1437
395	940	1434
396	943	1432
397	945	1430
398	947	1427
399	949	1424
400	951	1421
401	953	1418
402	956	1416
403	958	1414
404	960	1411
405	963	1409
406	965	1406
407	967	1404
408	970	1401
409	972	1398
410	974	1395
411	976	1393
412	978	1390
413	980	1387
414	982	1385
415	985	1383
416	987	1380
417	990	1378
418	992	1376
419	995	1374
420	998	1372
421	1000	1370
422	1002	1368
423	1005	1365
424	1008	1364
425	1010	1361
426	1012	1359
427	1015	1356
428	1017	1354
429	1020	1352
430	1022	1349
431	1025	1347
432	1027	1345
433	1030	1343
434	1032	1341
435	1034	1338
436	1037	1336
437	1039	1333
438	1041	1331
439	1044	1329
440	1046	1326
441	1049	1325
442	1052	1322
443	1054	1320
444	1056	1317
445	1059	1315
446	1061	1313
447	1063	1310
448	1066	1308
449	1069	1306
450	1071	1304
451	1073	1302
452	1076	1299
453	1078	1297
454	1080	1294
455	1083	1292
456	1085	1290
457	1088	1288
458	1091	1286
459	1093	1283
460	1095	1281
461	1098	1279
462	1101	1277
463	1103	1275
464	1106	1272
